DateCode,FeatureName,Energy Type,Value
2007,Scottish Borders,Gas,972.826
2007,Scottish Borders,Manufactured Fuels,8.235000000000001
2007,Scottish Borders,Petroleum Products,1634.743
2007,Shetland Islands,Bioenergy & Wastes,5.732
2007,Shetland Islands,Coal,9.928
2007,Shetland Islands,Electricity,297.92499999999995
2007,Shetland Islands,Gas,0.0
2007,Shetland Islands,Manufactured Fuels,2.963
2007,Shetland Islands,Petroleum Products,383.584
2007,South Ayrshire,Bioenergy & Wastes,15.826
2007,South Ayrshire,Coal,51.936
2007,South Ayrshire,Electricity,928.04
2007,South Ayrshire,Gas,1445.551
2007,South Ayrshire,Manufactured Fuels,7.545
2007,South Ayrshire,Petroleum Products,1217.32
2007,South Lanarkshire,Bioenergy & Wastes,40.277
2007,South Lanarkshire,Coal,13.81
2007,South Lanarkshire,Electricity,2350.783
2007,South Lanarkshire,Gas,3164.0
2007,South Lanarkshire,Manufactured Fuels,13.230999999999998
2007,South Lanarkshire,Petroleum Products,3117.0429999999997
2007,Stirling,Bioenergy & Wastes,150.067
2007,Stirling,Coal,6.679
2007,Stirling,Electricity,886.031
2007,Stirling,Gas,1537.393
2007,Stirling,Manufactured Fuels,6.167
2007,Stirling,Petroleum Products,1283.8719999999998
2007,West Dunbartonshire,Bioenergy & Wastes,5.699
2007,West Dunbartonshire,Coal,0.378
2007,West Dunbartonshire,Electricity,720.619
2007,West Dunbartonshire,Gas,942.3800000000001
2007,West Dunbartonshire,Manufactured Fuels,0.765
2007,West Dunbartonshire,Petroleum Products,610.0930000000001
2007,West Lothian,Bioenergy & Wastes,21.997999999999998
2007,West Lothian,Coal,3.171
2007,West Lothian,Electricity,1520.482
2007,West Lothian,Gas,2027.562
2007,West Lothian,Manufactured Fuels,7.273
2007,West Lothian,Petroleum Products,1707.4180000000001
2008,Aberdeen City,Bioenergy & Wastes,35.556
2008,Aberdeen City,Coal,29.386
2008,Aberdeen City,Electricity,2205.536
2008,Aberdeen City,Gas,2571.382
2008,Aberdeen City,Manufactured Fuels,25.160999999999998
2008,Aberdeen City,Petroleum Products,1584.77
2008,Aberdeenshire,Bioenergy & Wastes,73.934
2008,Aberdeenshire,Coal,47.114
2008,Aberdeenshire,Electricity,2110.275
2008,Aberdeenshire,Gas,1502.038
