DateCode,FeatureName,Energy Consuming Sector,Value
2006,City of Edinburgh,Industrial & Commercial,1781.6
2006,City of Edinburgh,Public Sector,11.417
2006,City of Edinburgh,Rail,49.305
2006,City of Edinburgh,Road Transport,2960.021
2006,Clackmannanshire,Agriculture,9.532
2006,Clackmannanshire,Commercial,321.765
2006,Clackmannanshire,Domestic,505.503
2006,Clackmannanshire,Industrial,439.355
2006,Clackmannanshire,Industrial & Commercial,232.17
2006,Clackmannanshire,Public Sector,0.366
2006,Clackmannanshire,Rail,0.204
2006,Clackmannanshire,Road Transport,255.34099999999998
2006,Dumfries and Galloway,Agriculture,478.064
2006,Dumfries and Galloway,Commercial,501.502
2006,Dumfries and Galloway,Domestic,1524.9450000000002
2006,Dumfries and Galloway,Industrial,898.077
2006,Dumfries and Galloway,Industrial & Commercial,505.835
2006,Dumfries and Galloway,Public Sector,19.357
2006,Dumfries and Galloway,Rail,26.18
2006,Dumfries and Galloway,Road Transport,1982.024
2006,Dundee City,Agriculture,1.01
2006,Dundee City,Commercial,564.472
2006,Dundee City,Domestic,1306.459
2006,Dundee City,Industrial,893.169
2006,Dundee City,Industrial & Commercial,502.3
2006,Dundee City,Public Sector,0.706
2006,Dundee City,Rail,10.647
2006,Dundee City,Road Transport,820.235
2006,East Ayrshire,Agriculture,92.35900000000001
2006,East Ayrshire,Commercial,367.805
2006,East Ayrshire,Domestic,1264.0240000000001
2006,East Ayrshire,Industrial,690.152
2006,East Ayrshire,Industrial & Commercial,291.436
2006,East Ayrshire,Public Sector,6.004
2006,East Ayrshire,Rail,4.032
2006,East Ayrshire,Road Transport,901.053
2006,East Dunbartonshire,Agriculture,8.637
2006,East Dunbartonshire,Commercial,168.029
2006,East Dunbartonshire,Domestic,1188.163
2006,East Dunbartonshire,Industrial,271.055
2006,East Dunbartonshire,Industrial & Commercial,217.446
2006,East Dunbartonshire,Public Sector,0.8190000000000001
2006,East Dunbartonshire,Rail,6.414
2006,East Dunbartonshire,Road Transport,485.27
2006,East Lothian,Agriculture,36.763
2006,East Lothian,Commercial,291.83299999999997
2006,East Lothian,Domestic,953.4250000000001
2006,East Lothian,Industrial,1151.388
2006,East Lothian,Industrial & Commercial,296.146
2006,East Lothian,Public Sector,2.242
2006,East Lothian,Rail,35.658
2006,East Lothian,Road Transport,751.85
2006,East Renfrewshire,Agriculture,14.604
2006,East Renfrewshire,Commercial,116.059
2006,East Renfrewshire,Domestic,1002.591
2006,East Renfrewshire,Industrial,158.67200000000003
2006,East Renfrewshire,Industrial & Commercial,107.519
2006,East Renfrewshire,Public Sector,0.562
2006,East Renfrewshire,Rail,2.199
2006,East Renfrewshire,Road Transport,626.42
2006,Falkirk,Agriculture,22.246
2006,Falkirk,Commercial,649.5550000000001
2006,Falkirk,Domestic,1487.716
2006,Falkirk,Industrial,17520.704999999998
2006,Falkirk,Industrial & Commercial,473.69
2006,Falkirk,Public Sector,6.805
2006,Falkirk,Rail,16.343999999999998
2006,Falkirk,Road Transport,1277.639
2006,Fife,Agriculture,86.032
2006,Fife,Commercial,2086.277
2006,Fife,Domestic,3791.275
2006,Fife,Industrial,8375.438
2006,Fife,Industrial & Commercial,1136.344
2006,Fife,Public Sector,13.963000000000001
2006,Fife,Rail,74.451
2006,Fife,Road Transport,2328.67
2006,Glasgow City,Agriculture,3.781
2006,Glasgow City,Commercial,2271.299
2006,Glasgow City,Domestic,4957.82
2006,Glasgow City,Industrial,3155.65
2006,Glasgow City,Industrial & Commercial,2111.717
2006,Glasgow City,Public Sector,5.205
2006,Glasgow City,Rail,11.822
